,Chi2,p_McNemar,t,p_5x2cvTtest
0,0.5,0.47950012218695337,0.519875244910039,0.6253385678196275
1,0.5,0.47950012218695337,1.2146644952683732,0.27872308464214757
2,inf,0.0,1.7320508075688772,0.14381080871160376
3,0.5,0.47950012218695337,-0.9759000729485336,0.3739339238177468
4,0.5,0.47950012218695337,1.1952286093343956,0.28559094064520024
5,0.0,1.0,0.5063696835418356,0.6341290196093963
6,0.0,1.0,1.6903085094570351,0.15176111049909757
7,0.0,1.0,0.0,1.0
8,0.0,1.0,1.0846522890932786,0.32758249926618604
9,0.5,0.47950012218695337,0.0,1.0
